----------------------------------------------------------
Flugprofil BA NOIZH Bisang und Gschwend
----------------------------------------------------------
BEGIN_PROFILE
ProfileID:	Flight1_R2D_A321
Procedure:	S
Offset:	A
Offsetweight:	---
AircraftType:	A321
Route:	R2D
Runway:	12
disxy	z	v	rho	c	n1	flaps	gears	sb	phase
0	4	0	1.176385	338.6764	90	-99	-99	-99	-99
1250	4	50	1.176385	338.6764	90	-99	-99	-99	-99
5889.3524614664	201.35618448	60	1.15315297647906	337.883579381907	90	-99	-99	-99	-99
7914.66859931375	271.76298448	194.626602609453	1.14526933044416	337.611314593092	90	-99	-99	-99	-99
10684.644727568	365.48698448	380.715741945255	1.13483884325555	337.248540584026	90	-99	-99	-99	-99
12759.9345294074	459.21098448	207.64865837457	1.12448118172642	336.885375923081	90	-99	-99	-99	-99
14880.3974986956	537.39018448	218.491671496694	1.1158968671053	336.582144984935	90	-99	-99	-99	-99
16955.6876635844	600.02458448	206.915883320599	1.1090556643478	336.339009871777	90	-99	-99	-99	-99
19030.3432045473	709.29338448	207.965807269816	1.09719770720023	335.914427375877	85	-99	-99	-99	-99
21101.7460772085	756.38298448	205.687886986006	1.09211751040823	335.731287170522	85	-99	-99	-99	-99
23149.9459301013	834.56218448	200.504830439122	1.08372301239594	335.427012920843	85	-99	-99	-99	-99
25224.7508670643	881.65178448	206.537014610379	1.07869063800657	335.243606445987	85	-99	-99	-99	-99
27296.963815594	936.51378448	206.010310994068	1.07285020960687	335.029801085369	85	-99	-99	-99	-99
29359.0545574025	952.51378448	203.062086092374	1.07115146725981	334.967421005837	85	-99	-99	-99	-99
31445.3704090172	1038.46538448	210.180262097301	1.06206105229151	334.632117755609	85	-99	-99	-99	-99
33495.2224359491	1093.32738448	200.432829152153	1.0562896713073	334.417921448587	85	-99	-99	-99	-99
35684.527756947	1132.64458448	235.031956373875	1.05216835540172	334.264331877375	85	-99	-99	-99	-99
37886.8852901821	1195.27898448	238.603743051763	1.04562829882796	334.019509616273	85	-99	-99	-99	-99
40083.3848283676	1250.14098448	237.022047343344	1.03992539767796	333.804920210421	85	-99	-99	-99	-99
