----------------------------------------------------------
Flugspur BA NOIZH 2020 Bisang und Gschwend
----------------------------------------------------------
BEGIN_TRACK
Track:	Flight1_R2D_A321
Procedure:	S
Offset:	A
OffsetWeight:	---
OffsetIndex:	---
Route:	R2D
Runway:	12
x	y
3058707.63079576	1369585.06814765
3058137.93771776	1369059.17375665
3056693.482296	1368586.01842801
3056052.263452	1368066.45933501
3055349.86343	1367552.319286
3054708.644472	1367032.75975701
3054068.305936	1366513.12207501
3053432.48886801	1365993.08425401
3052829.450448	1365470.142891
3052188.90352	1364950.52493801
3051551.95751001	1364430.588487
3050929.181358	1363909.396356
3050272.767112	1363391.18352201
3049667.36285001	1362868.45133001
3049038.235986	1362170.96020101
3048395.74136801	1361467.976889
3047877.636026	1360675.873215
3047327.039316	1359851.67863301
3046865.04272201	1358975.625884
3046426.940414	1358140.98049101
3045958.940922	1357254.52510901
3045497.908084	1356380.143548
3045052.573274	1355532.964572
3044818.168902	1354575.04977101
3044581.097842	1353643.7931
3044347.267232	1352680.132473
3044318.42823	1351814.743303
3044328.62374	1350899.655147
3044330.505572	1349995.15339801
3044473.71651	1349226.73073701
3044610.411664	1348461.67966401
3044806.654034	1347774.00671001
3045029.443698	1347078.691875
3045246.873766	1346384.922006
3045527.959496	1345871.722518
3045852.828636	1345361.57535701
3046096.23919	1344930.01676
3046381.942832	1344508.28462201
3046690.46289	1344091.85533401
3046976.16961	1343670.122542
3047291.75652801	1343255.330107
3047639.082756	1342847.911958
3047990.502154	1342441.44614201
3048203.421812	1342002.803635
3048726.366294	1341636.188873
3049112.492536	1341237.78774901
3049459.818536	1340830.37396
3049816.882872	1340425.22148501
3050193.01006	1340024.497898
3050634.246296	1339638.90907001
3051020.371398	1339240.51350501
3051398.90911601	1338840.350832
3051722.601776	1338427.44518701
3052100.071314	1338027.035847
3052454.727172	1337621.327363
3052770.57891201	1337206.602181
3053124.414996	1336800.70087601
3053474.967082	1336394.03951401
3053819.871494	1335986.068953
3054138.126582	1335571.90708301
3054483.29251001	1335163.997453
3054837.9356	1334758.288315
3055187.669964	1334351.436857
3055539.08400401	1333944.975074
3055886.403278	1333537.56183
3056240.78451	1333131.789581
3056627.16634	1332733.452549
3056974.484246	1332326.03941401
3057360.34236	1331927.581065
3057735.043978	1331526.53418401
3058148.889662	1331134.58368001
3058567.5645	1330743.752715
3058950.196072	1330344.54292
3059368.876724	1329953.70258099
3059819.036082	1329570.173744
3060230.317222	1329248.155351
3060598.121042	1329048.153193
3060926.34372	1328826.475622
3061165.4404	1328728.643524
3061406.604926	1328632.638266
3061660.869306	1328548.20880801
3061750.029424	1328586.04181601
3061826.563814	1328603.42478901
3061905.68361	1328624.994779
3061985.80102	1328648.18047601
3062063.126342	1328666.845398
3062158.006068	1328713.94656701
3062235.034192	1328732.13341501
3062324.286764	1328770.107578
3062415.79722	1328811.73520301
3062494.124602	1328832.018121
3062597.256788	1328892.484652
3062689.547574	1328935.41112101
3062792.670754	1328995.887353
3062883.668324	1329036.721022
3062986.29606	1329096.386512
3063088.932346	1329156.04589801
3063180.942692	1329198.4859
3063298.849506	1329282.868666
3063384.431962	1329314.894372
3063506.682632	1329406.31036301
3063618.868014	1329481.423551
3063747.579976	1329583.303215
3063873.736172	1329681.0484
3063988.762206	1329760.76629301
3064134.813568	1329890.74659301
3064257.787454	1329983.348504
3064412.08774201	1330126.68937001
3064529.698042	1330210.598967
3064666.946438	1330326.31596301
3064807.57425	1330447.50857401
3064945.02636401	1330563.560418
3065047.16618	1330622.41680101
3065202.262758	1330767.047246
3065339.69914	1330883.10028901
3065495.276	1331028.548561
3065632.206564	1331143.79783801
3065786.50286201	1331287.146879
3065916.99254	1331391.92986701
3066078.54471	1331547.01929801
3066219.662836	1331669.022651
3066394.299812	1331845.326425
3066549.389322	1331989.981831
3066702.88192	1332132.06941501
3066854.784674	1332271.585907
3067018.897968	1332430.89102201
3067184.76777401	1332593.041473
3067325.871764	1332715.061285
3067496.15519401	1332884.34000901
3067633.893106	1333000.874287
3067825.08824	1333203.99653001
3067987.134258	1333359.904224
3068152.325422	1333531.064506
3068324.10647	1333713.050777
3068473.149762	1333857.682748
3068636.277184	1334025.452694
3068792.405804	1334181.724775
3068951.093838	1334342.20142201
3069121.802488	1334522.425817
3069295.358858	1334707.328601
3069444.40842	1334851.959264
3069600.54559	1335008.229492
3069750.589004	1335154.48807
3069921.09975	1335334.370205
3070085.804476	1335504.71451301
3070243.71753801	1335663.901254
3070423.58472	1335859.15413301
3070587.216934	1336027.736456
3070757.231894	1336206.804252
3070916.1363	1336367.619453
3071078.26588	1336533.749276
3071251.31552	1336717.823006
3071458.832946	1336958.523108
3071629.817932	1337139.20595701
3071810.654456	1337336.07334401
3071959.974654	1337481.164532
3072155.967592	1337702.931552
3072342.09782	1337908.52395301
3072501.84993	1338070.80455
3072681.08122	1338265.11621401
3072640.80630801	1338509.103974
3072609.379962	1338783.098671
3072576.411652	1339051.86452901
3072419.743652	1339318.54347301
3072185.828682	1339591.332848
3071953.435042	1339884.101923
3071720.133392	1340158.869866
3071486.579346	1340428.633619
3071254.459876	1340726.84005
3071022.6392	1341030.969541
3070790.489406	1341328.574401
3070558.668616	1341632.70389201
3070324.983014	1341899.859493
3070091.44025401	1342169.84408001
3069860.878366	1342498.933045
3069630.511304	1342831.88606001
3069398.41634401	1343130.578304
3069166.431052	1343431.44542501
3068936.033666	1343763.79676
3068705.66934	1344096.802313
3068473.738882	1344398.75692701
3068243.210054	1344728.50000101
3068012.48355	1345054.32659601
3067782.308236	1345391.08022301
3067552.017896	1345725.55411501
3067321.456008	1346054.64308001
3067089.55861	1346357.25180299
3066858.92	1346684.82
End_Track
